275.0	69.00	768.98446	0.2991875
275.0	69.10	869.92087	0.2976297
275.0	69.20	978.23819	0.2940698
275.0	69.80	1610.06458	0.426434
275.0	69.90	1722.70024	0.557461
			
280.0	69.40	1028.62367	0.33852
280.0	69.50	1137.31458	0.461469
280.0	69.60	1245.30216	0.444684
280.0	69.70	1352.62798	0.528921
280.0	69.80	1462.73949	0.367803
280.0	69.90	1573.62437	0.487797
280.0	70.00	1680.6352	0.389242
			
285.0	69.50	926.44388	0.444087
285.0	69.60	1044.03392	0.367544
285.0	69.70	1156.16257	0.328967
285.0	69.80	1261.84791	0.433123
285.0	69.90	1372.75086	0.450481
285.0	70.00	1481.64377	0.461293
285.0	70.10	1591.23667	0.424501
			
290.0	69.60	824.01393	0.367095
290.0	69.70	950.35555	0.2985011
290.0	69.80	1059.50875	0.379221
290.0	69.90	1170.17393	0.407751
290.0	69.95	1222.73825	0.443237
290.0	70.00	1276.92719	0.489696
290.0	70.05	1332.31866	0.647507
290.0	70.10	1383.74647	0.359854
290.0	70.15	1440.84355	0.48943
			
292.0	69.60	754.12932	0.277493
292.0	69.70	856.69929	0.375267
292.0	69.80	966.59875	0.343574
292.0	69.90	1078.01386	0.38938
292.0	70.00	1188.38496	0.409307
292.0	70.10	1295.91082	0.617461
292.0	70.20	1405.21874	0.452148
			
295.0	69.70	747.29509	0.2707394
295.0	69.80	861.87336	0.317134
295.0	69.90	974.1453	0.415639
295.0	70.00	1106.06188	0.494824
295.0	70.05	1135.78996	0.400657
295.0	70.10	1196.682315	0.450473
295.0	70.15	1236.46573	0.1271586
295.0	70.20	1301.412413	0.482835
295.0	70.30	1410.22379	0.43485
295.0	70.40	1519.95431	0.443208
